1704878100,19,28.8,13.1,15.5,4740255
1704878400,15.5,16.35,13.6,14.05,2682120
1704878700,14.05,14.65,9.7,9.8,3459375
1704879000,9.8,29.5,9.55,27.85,7966905
1704879300,27.85,34,17.65,25.35,6175905
1704879600,25.35,37.15,21.5,36.85,4235070
1704879900,36.85,37.75,18.2,21.95,5728095
1704880200,21.95,30.45,20.5,26.4,4524435
1704880500,26.4,29.7,20.25,27.15,3827715
1704880800,27.15,27.15,22.1,22.25,2633010
1704881100,22.25,26.3,19.1,23.1,3253980
1704881400,23.1,32.25,22.6,30.6,3501180
1704881700,30.6,45.25,28.9,35.15,8169210
1704882000,35.15,36.25,19.2,20.35,5282985
1704882300,20.35,21.35,15.8,20.3,5471475
1704882600,20.5,28.6,19.65,25.15,3771465
1704882900,25.15,26.15,22.65,24.7,2048010
1704883200,24.7,25,16.75,17.75,3458235
1704883500,17.75,18.95,11.9,13,4822080
1704883800,13,15.85,12.1,13.6,3348255
1704884100,13.6,15.7,11.8,12.6,3141870
1704884400,12.6,15.4,11.4,13.8,3440700
1704884700,13.8,14,10.85,11.85,3169335
1704885000,11.85,16.15,11.1,15.3,2705025
1704885300,15.3,17.1,12.4,13.9,3240030
1704885600,13.9,15.85,13.4,15.15,2353425
1704885900,15.15,18.2,12.2,13.35,4050720
1704886200,13.35,15.15,11.05,11.1,3155820
1704886500,11.1,17.5,10.75,16.55,4058010
1704886800,16.55,23.6,14.8,15.5,7036095
1704887100,15.15,17.95,12.45,14.35,3515160
1704887400,14.35,16.15,12.85,14,2942280
1704887700,14,15,12.1,14.05,2398260
1704888000,14.05,14.7,10.45,10.45,3117810
1704888300,10.45,10.85,7.9,9.6,5670135
1704888600,9.5,10.7,8.2,9.15,3892335
1704888900,9.15,9.6,8.45,8.65,2313150
1704889200,8.65,9.15,7.55,7.85,3244080
1704889500,7.85,9.1,7.65,9,2042640
1704889800,9,11.55,7.9,10.8,4286175
1704890100,10.7,11.15,8.65,10.4,3548865
1704890400,10.4,10.65,6.55,6.85,3870480
1704890700,6.85,9.8,3.9,6.7,12722295
1704891000,6.65,6.7,5.15,5.95,4132650
1704891300,5.95,6.25,4.9,5.6,2714505
1704891600,5.6,5.9,5.2,5.25,1814235
1704891900,5.35,7,4.85,5.45,3331425
1704892200,5.45,7.65,5.15,6.8,3505605
1704892500,6.7,7.95,5.05,6,3823410
1704892800,6,6,4.8,5.7,2575815
1704893100,5.7,6,4.9,5.8,2163450
1704893400,5.65,7.45,4.7,4.85,4179330
1704893700,4.85,5.35,4.4,5,2550450
1704894000,5.05,5.9,4.5,5.7,2851395
1704894300,5.7,5.8,4.05,4.6,3323610
1704894600,4.6,5.35,4.4,5.35,1623000
1704894900,5.25,14.75,5.1,12.7,13187310
1704895200,12.45,22.75,6.2,6.7,17606805
1704895500,6.7,7.8,4.95,7.1,9218655
1704895800,7.3,10.15,6.3,8.8,9694980
1704896100,8.8,12.15,7.4,9.3,11049720
1704896400,9.25,10.45,3.05,3.2,13355520
1704896700,3.25,4.25,2.7,4.05,10472325
1704897000,4.1,5.95,3.75,4.9,10893345
1704897300,4.9,8.9,4.6,6.5,19044015
1704897600,6.5,10.7,2.45,3.55,22344810
1704897900,3.55,3.55,1.25,1.75,11110605
1704898200,1.8,2.85,1.75,2.6,12605610
1704898500,2.6,2.6,1.55,1.8,9593925
1704898800,1.8,2.1,0.8,0.9,13801635
1704899100,0.95,1.05,0.25,0.4,7826655
1704899400,0.35,0.4,0.2,0.2,2285790
1704899700,0.25,0.25,0.1,0.1,1914945
1704900000,0.1,0.15,0.05,0.05,1896540
1704900300,0.1,0.1,0.05,0.05,1506885
